seq_no,control_flag,priority_no,modal,LT,Dpt_entity,Dpt_week,Dpt_step,Arv_entity,Arv_week,Arv_step
YTOLEAF202301006,F,001202301006,B,2,YTO,1,2,YTOLEAF,3,2
YTOLEAF202301010,F,001202301010,B,2,YTO,1,3,YTOLEAF,3,3
YTOLEAF202301011,F,001202301011,B,2,YTO,1,4,YTOLEAF,3,4
YTOLEAF202301012,F,001202301012,B,2,YTO,1,5,YTOLEAF,3,5
YTOLEAF202301013,F,001202301013,B,2,YTO,1,6,YTOLEAF,3,6
YTOLEAF202301018,F,001202301018,B,2,YTO,1,7,YTOLEAF,3,7
YTOLEAF202301021,F,001202301021,B,2,YTO,1,8,YTOLEAF,3,8
YTOLEAF202301025,F,001202301025,B,2,YTO,1,9,YTOLEAF,3,9
YTOLEAF202301028,F,001202301028,B,2,YTO,1,10,YTOLEAF,3,10
YTOLEAF202301032,F,001202301032,B,2,YTO,1,11,YTOLEAF,3,11
YTOLEAF202301034,F,001202301034,B,2,YTO,1,12,YTOLEAF,3,12
YTOLEAF202301046,F,001202301046,B,2,YTO,1,13,YTOLEAF,3,13
YTOLEAF202301048,F,001202301048,B,2,YTO,1,14,YTOLEAF,3,14
YTOLEAF202301049,F,001202301049,B,2,YTO,1,15,YTOLEAF,3,15
YTOLEAF202301051,F,001202301051,B,2,YTO,1,16,YTOLEAF,3,16
YTOLEAF202301057,F,001202301057,B,2,YTO,1,17,YTOLEAF,3,17
YTOLEAF202301059,F,001202301059,B,2,YTO,1,18,YTOLEAF,3,18
YTOLEAF202301062,F,001202301062,B,2,YTO,1,19,YTOLEAF,3,19
YTOLEAF202301064,F,001202301064,B,2,YTO,1,20,YTOLEAF,3,20
YTOLEAF202301066,F,001202301066,B,2,YTO,1,21,YTOLEAF,3,21
YTOLEAF202301070,F,001202301070,B,2,YTO,1,22,YTOLEAF,3,22
YTOLEAF202301072,F,001202301072,B,2,YTO,1,23,YTOLEAF,3,23
YTOLEAF202301074,F,001202301074,B,2,YTO,1,24,YTOLEAF,3,24
YTOLEAF202301080,F,001202301080,B,2,YTO,1,25,YTOLEAF,3,25
YTOLEAF202301082,F,001202301082,B,2,YTO,1,26,YTOLEAF,3,26
YTOLEAF202301084,F,001202301084,B,2,YTO,1,27,YTOLEAF,3,27
YTOLEAF202301096,F,001202301096,B,2,YTO,1,28,YTOLEAF,3,28
YTOLEAF202301098,F,001202301098,B,2,YTO,1,29,YTOLEAF,3,29
YTOLEAF202301001,F,001202301001,B,2,YTO,2,0,YTOLEAF,4,0
YTOLEAF202301002,F,001202301002,B,2,YTO,2,1,YTOLEAF,4,1
YTOLEAF202301020,F,001202301020,B,2,YTO,2,2,YTOLEAF,4,2
YTOLEAF202301061,F,001202301061,B,2,YTO,2,3,YTOLEAF,4,3
YTOLEAF202301095,F,001202301095,B,2,YTO,2,4,YTOLEAF,4,4
YTOLEAF202302005,F,001202302005,B,2,YTO,3,0,YTOLEAF,5,0
YTOLEAF202302009,F,001202302009,B,2,YTO,3,1,YTOLEAF,5,1
YTOLEAF202302011,F,001202302011,B,2,YTO,3,2,YTOLEAF,5,2
YTOLEAF202302012,F,001202302012,B,2,YTO,3,3,YTOLEAF,5,3
YTOLEAF202302014,F,001202302014,B,2,YTO,3,4,YTOLEAF,5,4
YTOLEAF202302016,F,001202302016,B,2,YTO,3,5,YTOLEAF,5,5
YTOLEAF202302018,F,001202302018,B,2,YTO,3,6,YTOLEAF,5,6
YTOLEAF202302020,F,001202302020,B,2,YTO,3,7,YTOLEAF,5,7
YTOLEAF202302022,F,001202302022,B,2,YTO,3,8,YTOLEAF,5,8
YTOLEAF202302027,F,001202302027,B,2,YTO,3,9,YTOLEAF,5,9
YTOLEAF202302031,F,001202302031,B,2,YTO,3,10,YTOLEAF,5,10
YTOLEAF202302033,F,001202302033,B,2,YTO,3,11,YTOLEAF,5,11
YTOLEAF202302035,F,001202302035,B,2,YTO,3,12,YTOLEAF,5,12
YTOLEAF202302039,F,001202302039,B,2,YTO,3,13,YTOLEAF,5,13
YTOLEAF202302043,F,001202302043,B,2,YTO,3,14,YTOLEAF,5,14
YTOLEAF202302047,F,001202302047,B,2,YTO,3,15,YTOLEAF,5,15
YTOLEAF202302049,F,001202302049,B,2,YTO,3,16,YTOLEAF,5,16
YTOLEAF202302051,F,001202302051,B,2,YTO,3,17,YTOLEAF,5,17
YTOLEAF202302053,F,001202302053,B,2,YTO,3,18,YTOLEAF,5,18
YTOLEAF202302055,F,001202302055,B,2,YTO,3,19,YTOLEAF,5,19
YTOLEAF202302057,F,001202302057,B,2,YTO,3,20,YTOLEAF,5,20
YTOLEAF202302059,F,001202302059,B,2,YTO,3,21,YTOLEAF,5,21
YTOLEAF202302064,F,001202302064,B,2,YTO,3,22,YTOLEAF,5,22
YTOLEAF202302066,F,001202302066,B,2,YTO,3,23,YTOLEAF,5,23
YTOLEAF202302074,F,001202302074,B,2,YTO,3,24,YTOLEAF,5,24
YTOLEAF202302075,F,001202302075,B,2,YTO,3,25,YTOLEAF,5,25
YTOLEAF202302077,F,001202302077,B,2,YTO,3,26,YTOLEAF,5,26
YTOLEAF202302078,F,001202302078,B,2,YTO,3,27,YTOLEAF,5,27
YTOLEAF202302029,F,001202302029,B,2,YTO,4,0,YTOLEAF,6,0
YTOLEAF202302041,F,001202302041,B,2,YTO,4,1,YTOLEAF,6,1
YTOLEAF202302045,F,001202302045,B,2,YTO,4,2,YTOLEAF,6,2
YTOLEAF202302058,F,001202302058,B,2,YTO,4,3,YTOLEAF,6,3
YTOLEAF202302061,F,001202302061,B,2,YTO,4,4,YTOLEAF,6,4
YTOLEAF202302067,F,001202302067,B,2,YTO,4,5,YTOLEAF,6,5
YTOLEAF202302068,F,001202302068,B,2,YTO,4,6,YTOLEAF,6,6
YTOLEAF202302069,F,001202302069,B,2,YTO,4,7,YTOLEAF,6,7
YTOLEAF202302070,F,001202302070,B,2,YTO,4,8,YTOLEAF,6,8
YTOLEAF202302071,F,001202302071,B,2,YTO,4,9,YTOLEAF,6,9
YTOLEAF202302072,F,001202302072,B,2,YTO,4,10,YTOLEAF,6,10
YTOLEAF202302073,F,001202302073,B,2,YTO,4,11,YTOLEAF,6,11
YTOLEAF202302076,F,001202302076,B,2,YTO,4,12,YTOLEAF,6,12
YTOLEAF202302001,F,001202302001,B,2,YTO,5,0,YTOLEAF,7,0
YTOLEAF202302002,F,001202302002,B,2,YTO,5,1,YTOLEAF,7,1
YTOLEAF202302003,F,001202302003,B,2,YTO,5,2,YTOLEAF,7,2
YTOLEAF202302004,F,001202302004,B,2,YTO,5,3,YTOLEAF,7,3
YTOLEAF202302006,F,001202302006,B,2,YTO,5,4,YTOLEAF,7,4
YTOLEAF202302008,F,001202302008,B,2,YTO,5,5,YTOLEAF,7,5
YTOLEAF202302010,F,001202302010,B,2,YTO,5,6,YTOLEAF,7,6
YTOLEAF202302013,F,001202302013,B,2,YTO,5,7,YTOLEAF,7,7
YTOLEAF202302015,F,001202302015,B,2,YTO,5,8,YTOLEAF,7,8
YTOLEAF202302017,F,001202302017,B,2,YTO,5,9,YTOLEAF,7,9
YTOLEAF202302019,F,001202302019,B,2,YTO,5,10,YTOLEAF,7,10
YTOLEAF202302021,F,001202302021,B,2,YTO,5,11,YTOLEAF,7,11
YTOLEAF202302023,F,001202302023,B,2,YTO,5,12,YTOLEAF,7,12
YTOLEAF202302024,F,001202302024,B,2,YTO,5,13,YTOLEAF,7,13
YTOLEAF202302026,F,001202302026,B,2,YTO,5,14,YTOLEAF,7,14
YTOLEAF202302028,F,001202302028,B,2,YTO,5,15,YTOLEAF,7,15
YTOLEAF202302030,F,001202302030,B,2,YTO,5,16,YTOLEAF,7,16
YTOLEAF202302032,F,001202302032,B,2,YTO,5,17,YTOLEAF,7,17
YTOLEAF202302034,F,001202302034,B,2,YTO,5,18,YTOLEAF,7,18
YTOLEAF202302036,F,001202302036,B,2,YTO,5,19,YTOLEAF,7,19
YTOLEAF202302038,F,001202302038,B,2,YTO,5,20,YTOLEAF,7,20
YTOLEAF202302040,F,001202302040,B,2,YTO,5,21,YTOLEAF,7,21
YTOLEAF202302042,F,001202302042,B,2,YTO,5,22,YTOLEAF,7,22
YTOLEAF202302046,F,001202302046,B,2,YTO,5,23,YTOLEAF,7,23
YTOLEAF202302048,F,001202302048,B,2,YTO,5,24,YTOLEAF,7,24
YTOLEAF202302050,F,001202302050,B,2,YTO,5,25,YTOLEAF,7,25
YTOLEAF202302052,F,001202302052,B,2,YTO,5,26,YTOLEAF,7,26
YTOLEAF202302054,F,001202302054,B,2,YTO,5,27,YTOLEAF,7,27
YTOLEAF202302056,F,001202302056,B,2,YTO,5,28,YTOLEAF,7,28
YTOLEAF202302060,F,001202302060,B,2,YTO,5,29,YTOLEAF,7,29
YTOLEAF202302079,F,001202302079,B,2,YTO,5,30,YTOLEAF,7,30
YTOLEAF202302007,F,001202302007,B,2,YTO,6,0,YTOLEAF,8,0
YTOLEAF202302025,F,001202302025,B,2,YTO,6,1,YTOLEAF,8,1
YTOLEAF202302037,F,001202302037,B,2,YTO,6,2,YTOLEAF,8,2
YTOLEAF202302044,F,001202302044,B,2,YTO,6,3,YTOLEAF,8,3
YTOLEAF202302062,F,001202302062,B,2,YTO,6,4,YTOLEAF,8,4
YTOLEAF202302063,F,001202302063,B,2,YTO,6,5,YTOLEAF,8,5
YTOLEAF202302065,F,001202302065,B,2,YTO,6,6,YTOLEAF,8,6
YTOLEAF202303001,F,001202303001,B,2,YTO,7,0,YTOLEAF,9,0
YTOLEAF202303016,F,001202303016,B,2,YTO,7,1,YTOLEAF,9,1
YTOLEAF202303017,F,001202303017,B,2,YTO,7,2,YTOLEAF,9,2
YTOLEAF202303019,F,001202303019,B,2,YTO,7,3,YTOLEAF,9,3
YTOLEAF202303031,F,001202303031,B,2,YTO,7,4,YTOLEAF,9,4
YTOLEAF202303035,F,001202303035,B,2,YTO,7,5,YTOLEAF,9,5
YTOLEAF202303045,F,001202303045,B,2,YTO,7,6,YTOLEAF,9,6
YTOLEAF202303047,F,001202303047,B,2,YTO,7,7,YTOLEAF,9,7
YTOLEAF202303051,F,001202303051,B,2,YTO,7,8,YTOLEAF,9,8
YTOLEAF202303053,F,001202303053,B,2,YTO,7,9,YTOLEAF,9,9
YTOLEAF202303055,F,001202303055,B,2,YTO,7,10,YTOLEAF,9,10
YTOLEAF202303071,F,001202303071,B,2,YTO,7,11,YTOLEAF,9,11
YTOLEAF202303073,F,001202303073,B,2,YTO,7,12,YTOLEAF,9,12
YTOLEAF202303076,F,001202303076,B,2,YTO,7,13,YTOLEAF,9,13
YTOLEAF202303078,F,001202303078,B,2,YTO,7,14,YTOLEAF,9,14
YTOLEAF202303080,F,001202303080,B,2,YTO,7,15,YTOLEAF,9,15
YTOLEAF202303083,F,001202303083,B,2,YTO,7,16,YTOLEAF,9,16
YTOLEAF202303085,F,001202303085,B,2,YTO,7,17,YTOLEAF,9,17
YTOLEAF202303087,F,001202303087,B,2,YTO,7,18,YTOLEAF,9,18
YTOLEAF202303089,F,001202303089,B,2,YTO,7,19,YTOLEAF,9,19
YTOLEAF202303004,F,001202303004,B,2,YTO,8,0,YTOLEAF,10,0
YTOLEAF202303005,F,001202303005,B,2,YTO,8,1,YTOLEAF,10,1
YTOLEAF202303007,F,001202303007,B,2,YTO,8,2,YTOLEAF,10,2
YTOLEAF202303010,F,001202303010,B,2,YTO,8,3,YTOLEAF,10,3
YTOLEAF202303013,F,001202303013,B,2,YTO,8,4,YTOLEAF,10,4
YTOLEAF202303014,F,001202303014,B,2,YTO,8,5,YTOLEAF,10,5
YTOLEAF202303015,F,001202303015,B,2,YTO,8,6,YTOLEAF,10,6
YTOLEAF202303020,F,001202303020,B,2,YTO,8,7,YTOLEAF,10,7
YTOLEAF202303021,F,001202303021,B,2,YTO,8,8,YTOLEAF,10,8
YTOLEAF202303022,F,001202303022,B,2,YTO,8,9,YTOLEAF,10,9
YTOLEAF202303023,F,001202303023,B,2,YTO,8,10,YTOLEAF,10,10
YTOLEAF202303024,F,001202303024,B,2,YTO,8,11,YTOLEAF,10,11
YTOLEAF202303025,F,001202303025,B,2,YTO,8,12,YTOLEAF,10,12
YTOLEAF202303026,F,001202303026,B,2,YTO,8,13,YTOLEAF,10,13
YTOLEAF202303027,F,001202303027,B,2,YTO,8,14,YTOLEAF,10,14
YTOLEAF202303028,F,001202303028,B,2,YTO,8,15,YTOLEAF,10,15
YTOLEAF202303029,F,001202303029,B,2,YTO,8,16,YTOLEAF,10,16
YTOLEAF202303033,F,001202303033,B,2,YTO,8,17,YTOLEAF,10,17
YTOLEAF202303036,F,001202303036,B,2,YTO,8,18,YTOLEAF,10,18
YTOLEAF202303037,F,001202303037,B,2,YTO,8,19,YTOLEAF,10,19
YTOLEAF202303038,F,001202303038,B,2,YTO,8,20,YTOLEAF,10,20
YTOLEAF202303039,F,001202303039,B,2,YTO,8,21,YTOLEAF,10,21
YTOLEAF202303040,F,001202303040,B,2,YTO,8,22,YTOLEAF,10,22
YTOLEAF202303041,F,001202303041,B,2,YTO,8,23,YTOLEAF,10,23
YTOLEAF202303042,F,001202303042,B,2,YTO,8,24,YTOLEAF,10,24
YTOLEAF202303049,F,001202303049,B,2,YTO,8,25,YTOLEAF,10,25
YTOLEAF202303050,F,001202303050,B,2,YTO,8,26,YTOLEAF,10,26
YTOLEAF202303057,F,001202303057,B,2,YTO,8,27,YTOLEAF,10,27
YTOLEAF202303058,F,001202303058,B,2,YTO,8,28,YTOLEAF,10,28
YTOLEAF202303059,F,001202303059,B,2,YTO,8,29,YTOLEAF,10,29
YTOLEAF202303060,F,001202303060,B,2,YTO,8,30,YTOLEAF,10,30
YTOLEAF202303061,F,001202303061,B,2,YTO,8,31,YTOLEAF,10,31
YTOLEAF202303063,F,001202303063,B,2,YTO,8,32,YTOLEAF,10,32
YTOLEAF202303064,F,001202303064,B,2,YTO,8,33,YTOLEAF,10,33
YTOLEAF202303066,F,001202303066,B,2,YTO,8,34,YTOLEAF,10,34
YTOLEAF202303067,F,001202303067,B,2,YTO,8,35,YTOLEAF,10,35
YTOLEAF202303068,F,001202303068,B,2,YTO,8,36,YTOLEAF,10,36
YTOLEAF202303070,F,001202303070,B,2,YTO,8,37,YTOLEAF,10,37
YTOLEAF202303072,F,001202303072,B,2,YTO,8,38,YTOLEAF,10,38
YTOLEAF202303075,F,001202303075,B,2,YTO,8,39,YTOLEAF,10,39
YTOLEAF202303084,F,001202303084,B,2,YTO,8,40,YTOLEAF,10,40
YTOLEAF202303002,F,001202303002,B,2,YTO,9,0,YTOLEAF,11,0
YTOLEAF202303003,F,001202303003,B,2,YTO,9,1,YTOLEAF,11,1
YTOLEAF202303006,F,001202303006,B,2,YTO,9,2,YTOLEAF,11,2
YTOLEAF202303009,F,001202303009,B,2,YTO,9,3,YTOLEAF,11,3
YTOLEAF202303018,F,001202303018,B,2,YTO,9,4,YTOLEAF,11,4
YTOLEAF202303030,F,001202303030,B,2,YTO,9,5,YTOLEAF,11,5
YTOLEAF202303032,F,001202303032,B,2,YTO,9,6,YTOLEAF,11,6
YTOLEAF202303034,F,001202303034,B,2,YTO,9,7,YTOLEAF,11,7
YTOLEAF202303044,F,001202303044,B,2,YTO,9,8,YTOLEAF,11,8
YTOLEAF202303046,F,001202303046,B,2,YTO,9,9,YTOLEAF,11,9
YTOLEAF202303048,F,001202303048,B,2,YTO,9,10,YTOLEAF,11,10
YTOLEAF202303052,F,001202303052,B,2,YTO,9,11,YTOLEAF,11,11
YTOLEAF202303054,F,001202303054,B,2,YTO,9,12,YTOLEAF,11,12
YTOLEAF202303074,F,001202303074,B,2,YTO,9,13,YTOLEAF,11,13
YTOLEAF202303077,F,001202303077,B,2,YTO,9,14,YTOLEAF,11,14
YTOLEAF202303079,F,001202303079,B,2,YTO,9,15,YTOLEAF,11,15
YTOLEAF202303086,F,001202303086,B,2,YTO,9,16,YTOLEAF,11,16
YTOLEAF202303088,F,001202303088,B,2,YTO,9,17,YTOLEAF,11,17
YTOLEAF202303011,F,001202303011,B,2,YTO,10,0,YTOLEAF,12,0
YTOLEAF202303012,F,001202303012,B,2,YTO,10,1,YTOLEAF,12,1
YTOLEAF202303065,F,001202303065,B,2,YTO,10,2,YTOLEAF,12,2
YTOLEAF202303069,F,001202303069,B,2,YTO,10,3,YTOLEAF,12,3
YTOLEAF202303081,F,001202303081,B,2,YTO,10,4,YTOLEAF,12,4
YTOLEAF202303082,F,001202303082,B,2,YTO,10,5,YTOLEAF,12,5
YTOLEAF202303008,F,001202303008,B,2,YTO,11,0,YTOLEAF,13,0
YTOLEAF202303043,F,001202303043,B,2,YTO,11,1,YTOLEAF,13,1
YTOLEAF202303056,F,001202303056,B,2,YTO,11,2,YTOLEAF,13,2
YTOLEAF202303062,F,001202303062,B,2,YTO,11,3,YTOLEAF,13,3
YTOLEAF202304004,F,001202304004,B,2,YTO,12,0,YTOLEAF,14,0
YTOLEAF202304008,F,001202304008,B,2,YTO,12,1,YTOLEAF,14,1
YTOLEAF202304010,F,001202304010,B,2,YTO,12,2,YTOLEAF,14,2
YTOLEAF202304015,F,001202304015,B,2,YTO,12,3,YTOLEAF,14,3
YTOLEAF202304017,F,001202304017,B,2,YTO,12,4,YTOLEAF,14,4
YTOLEAF202304018,F,001202304018,B,2,YTO,12,5,YTOLEAF,14,5
YTOLEAF202304020,F,001202304020,B,2,YTO,12,6,YTOLEAF,14,6
YTOLEAF202304022,F,001202304022,B,2,YTO,12,7,YTOLEAF,14,7
YTOLEAF202304029,F,001202304029,B,2,YTO,12,8,YTOLEAF,14,8
YTOLEAF202304031,F,001202304031,B,2,YTO,12,9,YTOLEAF,14,9
YTOLEAF202304033,F,001202304033,B,2,YTO,12,10,YTOLEAF,14,10
YTOLEAF202304035,F,001202304035,B,2,YTO,12,11,YTOLEAF,14,11
YTOLEAF202304037,F,001202304037,B,2,YTO,12,12,YTOLEAF,14,12
YTOLEAF202304039,F,001202304039,B,2,YTO,12,13,YTOLEAF,14,13
YTOLEAF202304043,F,001202304043,B,2,YTO,12,14,YTOLEAF,14,14
YTOLEAF202304045,F,001202304045,B,2,YTO,12,15,YTOLEAF,14,15
YTOLEAF202304046,F,001202304046,B,2,YTO,12,16,YTOLEAF,14,16
YTOLEAF202304059,F,001202304059,B,2,YTO,12,17,YTOLEAF,14,17
YTOLEAF202304061,F,001202304061,B,2,YTO,12,18,YTOLEAF,14,18
YTOLEAF202304063,F,001202304063,B,2,YTO,12,19,YTOLEAF,14,19
YTOLEAF202304065,F,001202304065,B,2,YTO,12,20,YTOLEAF,14,20
YTOLEAF202304067,F,001202304067,B,2,YTO,12,21,YTOLEAF,14,21
YTOLEAF202304069,F,001202304069,B,2,YTO,12,22,YTOLEAF,14,22
YTOLEAF202304071,F,001202304071,B,2,YTO,12,23,YTOLEAF,14,23
YTOLEAF202304006,F,001202304006,B,2,YTO,13,0,YTOLEAF,15,0
YTOLEAF202304013,F,001202304013,B,2,YTO,13,1,YTOLEAF,15,1
YTOLEAF202304016,F,001202304016,B,2,YTO,13,2,YTOLEAF,15,2
YTOLEAF202304023,F,001202304023,B,2,YTO,13,3,YTOLEAF,15,3
YTOLEAF202304024,F,001202304024,B,2,YTO,13,4,YTOLEAF,15,4
YTOLEAF202304025,F,001202304025,B,2,YTO,13,5,YTOLEAF,15,5
YTOLEAF202304026,F,001202304026,B,2,YTO,13,6,YTOLEAF,15,6
YTOLEAF202304027,F,001202304027,B,2,YTO,13,7,YTOLEAF,15,7
YTOLEAF202304041,F,001202304041,B,2,YTO,13,8,YTOLEAF,15,8
YTOLEAF202304044,F,001202304044,B,2,YTO,13,9,YTOLEAF,15,9
YTOLEAF202304047,F,001202304047,B,2,YTO,13,10,YTOLEAF,15,10
YTOLEAF202304048,F,001202304048,B,2,YTO,13,11,YTOLEAF,15,11
YTOLEAF202304049,F,001202304049,B,2,YTO,13,12,YTOLEAF,15,12
YTOLEAF202304050,F,001202304050,B,2,YTO,13,13,YTOLEAF,15,13
YTOLEAF202304051,F,001202304051,B,2,YTO,13,14,YTOLEAF,15,14
YTOLEAF202304052,F,001202304052,B,2,YTO,13,15,YTOLEAF,15,15
YTOLEAF202304053,F,001202304053,B,2,YTO,13,16,YTOLEAF,15,16
YTOLEAF202304054,F,001202304054,B,2,YTO,13,17,YTOLEAF,15,17
YTOLEAF202304055,F,001202304055,B,2,YTO,13,18,YTOLEAF,15,18
YTOLEAF202304056,F,001202304056,B,2,YTO,13,19,YTOLEAF,15,19
YTOLEAF202304057,F,001202304057,B,2,YTO,13,20,YTOLEAF,15,20
YTOLEAF202304072,F,001202304072,B,2,YTO,13,21,YTOLEAF,15,21
YTOLEAF202304073,F,001202304073,B,2,YTO,13,22,YTOLEAF,15,22
YTOLEAF202304001,F,001202304001,B,2,YTO,14,0,YTOLEAF,16,0
YTOLEAF202304002,F,001202304002,B,2,YTO,14,1,YTOLEAF,16,1
YTOLEAF202304003,F,001202304003,B,2,YTO,14,2,YTOLEAF,16,2
YTOLEAF202304005,F,001202304005,B,2,YTO,14,3,YTOLEAF,16,3
YTOLEAF202304007,F,001202304007,B,2,YTO,14,4,YTOLEAF,16,4
YTOLEAF202304009,F,001202304009,B,2,YTO,14,5,YTOLEAF,16,5
YTOLEAF202304011,F,001202304011,B,2,YTO,14,6,YTOLEAF,16,6
YTOLEAF202304014,F,001202304014,B,2,YTO,14,7,YTOLEAF,16,7
YTOLEAF202304019,F,001202304019,B,2,YTO,14,8,YTOLEAF,16,8
YTOLEAF202304021,F,001202304021,B,2,YTO,14,9,YTOLEAF,16,9
YTOLEAF202304028,F,001202304028,B,2,YTO,14,10,YTOLEAF,16,10
YTOLEAF202304030,F,001202304030,B,2,YTO,14,11,YTOLEAF,16,11
YTOLEAF202304032,F,001202304032,B,2,YTO,14,12,YTOLEAF,16,12
YTOLEAF202304034,F,001202304034,B,2,YTO,14,13,YTOLEAF,16,13
YTOLEAF202304036,F,001202304036,B,2,YTO,14,14,YTOLEAF,16,14
